DATE,Incubator,Start Date,End Date,Tank Name,Male,Female,Spawn Type,Time Found,Cleavage,Day of Cycle,Total # of tanks,Notes
01-21-2020,Red (New),12-11-2019,04-20-2020,R_CC7_CC7_CC7_121119,CC7,NA,sperm,9:45,,8,14,
01-21-2020,Green (Newest),11-27-2019,NA,G_CC7x3_112719,CC7,NA,sperm,10:35,,23,10,
01-21-2020,Green (Newest),09-20-2019,02-27-2020,G_CC7X5_092019,CC7,NA,sperm,10:35,,23,10,
01-21-2020,Green (Newest),08-12-2019,05-18-2020,G_CC7_CC7_CC7_081219,CC7,NA,sperm,10:35,,23,10,
01-21-2020,Green (Newest),10-02-2019,NA,G_CC7_CC7_120219,CC7,NA,sperm,10:35,,23,10,
01-21-2020,Green (Newest),11-27-2019,NA,G_CC7_CC7_CC7_112719,CC7,NA,sperm,10:35,,23,10,
01-21-2020,Red (New),12-11-2019,NA,R_CC7x4_121119,CC7,NA,sperm,10:35,,8,14,
01-21-2020,Red (New),12-11-2019,NA,R_PLF3x4_092119,NA,PLF3,eggs,11:25,,8,14,
01-21-2020,YELLOW,12-04-2019,02-27-2020,Y_PLF3_PLF3_PLF3_120419,NA,PLF3,eggs,13:15,,14,9,FOUND VERY LATE
01-21-2020,YELLOW,08-19-2019,NA,Y_PLF3_PLF3_A_081919,NA,PLF3,eggs,13:15,,14,9,FOUND VERY LATE
01-22-2020,Red (New),12-11-2019,NA,R_CC7x4_121119,CC7,NA,sperm,9:35,,9,14,
01-22-2020,Red (New),12-11-2019,04-20-2020,R_CC7_CC7_CC7_121119,CC7,NA,sperm,9:35,,9,14,
01-22-2020,Green (Newest),11-27-2019,NA,G_CC7x3_112719,CC7,NA,sperm,10:10,,24,10,
01-22-2020,Green (Newest),09-03-2019,02-19-2020,G_PLF3_PLF3_090519,NA,PLF3,eggs,10:10,,24,10,
01-22-2020,Green (Newest),11-27-2019,NA,G_CC7_CC7_CC7_112719,CC7,NA,sperm,10:35,,24,10,
01-22-2020,Red (New),08-21-2019,07-20-20,R_CC7_CC7_CC7_082119,CC7,NA,sperm,10:35,,9,14,
01-22-2020,Green (Newest),11-27-2019,02-27-2020,G_PLF3x4_112719,NA,PLF3,eggs,10:45,,24,10,
01-22-2020,YELLOW,12-04-2019,05-18-20,Y_PLF3_PLF3_PLF3_PLF3_120419,NA,PLF3,eggs,11:05,,15,9,
01-22-2020,Red (New),11-13-2019,02-03-2020,R_CC7x4_111319,CC7,NA,sperm,11:05,,9,14,
01-23-2020,Red (New),12-11-2019,NA,R_CC7x4_121119,CC7,NA,sperm,10:20,,10,14,
01-23-2020,Green (Newest),09-05-2019,02-19-2020,G_PLF3_PLF3_090519,CC7,NA,sperm,10:35,,25,10,
01-23-2020,Green (Newest),10-02-2019,02-19-2020,G_PLF3_PLF3_100219,CC7,NA,sperm,10:35,,25,10,
01-23-2020,Green (Newest),11-27-2019,02-27-2020,G_PLF3x4_112719,CC7,NA,sperm,10:35,,25,10,
01-23-2020,Green (Newest),08-12-2019,02-27-2020,G_PLF3x3_081219,CC7,NA,sperm,10:35,,25,10,
01-24-2020,Red (New),10-16-2019,NA,R_CC7x4_101619,CC7,NA,sperm,10:01,,11,14,
01-24-2020,Green (Newest),11-27-2019,NA,G_CC7x3_112719,CC7,NA,sperm,10:35,,26,10,
01-24-2020,Green (Newest),08-12-2019,02-27-2020,G_PLF3x3_081219,NA,PLF3,eggs,10:35,,26,10,
01-27-2020,Orange (Old),09-25-2019,NA,O_CC7_CC7_092519,CC7,NA,sperm,9:30,,7,16,
01-27-2020,Orange (Old),10-23-2019,02-03-2020,O_CC7x3(FROM031619)_102319,CC7,NA,sperm,9:30,,7,16,
01-27-2020,Orange (Old),11-20-2019,NA,O_CC7x3(FROM112119)_112019,CC7,NA,sperm,9:30,,7,16,
01-27-2020,Orange (Old),11-20-2019,02-03-2020,O_CC7_CC7_CC7_112019,CC7,NA,sperm,9:30,,7,16,
01-27-2020,Orange (Old),08-28-2019,02-25-2020,O_CC7_CC7_082819,CC7,NA,sperm,9:30,,7,16,
01-27-2020,Orange (Old),12-18-2019,02-12-2020,O_H2_H2_121819,NA,H2,eggs,9:30,,7,16,
01-27-2020,Orange (Old),01-16-2020,NA,O_CC7_CC7_CC7_011620,CC7,NA,sperm,9:30,,7,16,
01-27-2020,Orange (Old),12-18-2019,NA,O_CC7_CC7_CC7_121819,CC7,NA,sperm,9:30,,7,16,
01-27-2020,Orange (Old),11-20-2019,NA,O_PLF3_PLF3_PLF3_112019,NA,PLF3,eggs,10:00,,7,16,
01-27-2020,Orange (Old),09-25-2019,02-17-2020,O_PLF3x3_092519,NA,PLF3,eggs,10:00,,7,16,
01-27-2020,Orange (Old),10-23-2019,NA,O_PLF3_PLF3_PLF3_102319,NA,PLF3,eggs,10:00,,7,16,
01-28-2020,Orange (Old),08-28-2019,02-25-2020,O_CC7_CC7_082819,CC7,NA,sperm,9:30,,8,16,
01-28-2020,Orange (Old),01-16-2020,02-12-2020,O_CC7_CC7_CC7(FROM1121)_011620,CC7,NA,sperm,9:30,,8,16,
01-28-2020,Orange (Old),12-18-2019,02-12-2020,O_CC7_CC7_CC7(FROM1121)_122019,CC7,NA,sperm,9:30,,8,16,
01-28-2020,Orange (Old),10-23-2019,NA,O_CC7_CC7_092519,CC7,NA,sperm,9:30,,8,16,
01-28-2020,Orange (Old),11-28-2019,NA,O_CC7_CC7_CC7_112819,CC7,NA,sperm,9:30,,8,16,
01-28-2020,Orange (Old),09-25-2019,NA,O_CC7_CC7_092519,CC7,NA,sperm,9:30,,8,16,
01-28-2020,Orange (Old),01-16-2020,NA,O_CC7_CC7_CC7_011620,CC7,NA,sperm,9:30,,8,16,
01-28-2020,Orange (Old),11-20-2019,NA,O_CC7x3(FROM112119)_112019,CC7,NA,sperm,9:30,,8,16,
01-29-2020,Orange (Old),12-18-2019,NA,O_CC7_CC7_CC7_121819,CC7,NA,sperm,9:30,,9,16,
02-06-2020,Orange (Old),01-16-2020,02-12-2020,O_CC7_CC7_CC7(FROM1121)_011620,CC7,NA,sperm,10:00,,17,14,
